donor_id,donation_amount,donation_date,account_type,donation_source
0014T00000Gzoy5,51.5,2021-09-12,Core,Ads
0014T000004xlOM,30,2021-01-31,Core,Ads
0014T000004kItf,25,2021-07-26,Core,Ads
0014T00000Gzoy5,51.5,2021-10-12,Core,Ads
0014T000004xlOM,30,2021-02-28,Core,Ads
0014T000004kItf,25,2021-08-26,Core,Ads
0014T00000N8F6b,50,2022-05-04,Core,Website
0014T00000Gzoy5,51.5,2021-11-12,Core,Ads
0014T000004xlOM,30,2021-03-31,Core,Ads
0014T00000Gzoy5,51.5,2021-12-12,Core,Ads
0014T00000N8FDL,25.75,2021-12-04,Core,Website
0014T000004xlOM,30,2021-04-30,Core,Ads
0014T00000EH4zz,20.6,2021-01-01,Core,Website
0014T00000Gzoy5,51.5,2022-01-12,Core,Ads
0014T00000N8FDL,25.75,2021-11-04,Core,Website
0014T000004xlOM,30,2021-05-31,Core,Ads
0014T00000D3W4u,20.6,2021-05-09,Core,Website
0014T000004kMOX,12,2022-02-17,Core,Ads
0014T00000EH4zz,20.6,2021-02-01,Core,Website
0014T00000N8FDT,51.5,2021-12-04,Core,Website
0014T000004xlOM,30,2021-06-30,Core,Ads
0014T000009yDEy,10.3,2021-12-26,Core,Website
0014T00000D3W4u,20.6,2021-06-09,Core,Website
0014T00000N8FDT,51.5,2021-11-04,Core,Website
0014T000004ytVN,25,2022-03-13,Core,Ads
0014T00000D3W4u,20.6,2021-07-09,Core,Website
0014T000004xZnf,150,2021-11-23,Mid-Level,Website
0014T000006ud4p,51.5,2021-12-25,Core,Website
0014T000004ytVN,25,2022-04-13,Core,Ads
0014T00000D3W4u,20.6,2021-08-09,Core,Website
0014T000004yZtN,25,2022-04-03,Core,Ads
0014T000004xZnf,150,2021-12-23,Mid-Level,Website
0014T000006ud4p,51.5,2022-01-25,Core,Website
0014T000004ytVN,25,2022-05-13,Core,Ads
0014T00000D3W4u,20.6,2021-09-09,Core,Website
0014T00000G8oRC,20,2021-12-02,Core,Website
0014T000004xZnf,150,2022-01-23,Mid-Level,Website
0014T000006ud4p,51.5,2022-03-25,Core,Website
0014T000004ytVN,25,2021-10-13,Core,Ads
0014T00000D3W4u,20.6,2021-10-09,Core,Website
0014T000004yXvP,50,2022-04-03,Core,Email
0014T00000G8oRC,20,2022-01-02,Core,Website
0014T00000IrrFB,15.45,2022-02-10,Core,Ads
0014T000004yEA4,25,2021-05-06,Core,Website
0014T000004xZnf,150,2022-02-23,Mid-Level,Website
0014T000004ytVN,25,2021-11-13,Core,Ads
0014T00000G8oRC,20,2022-02-02,Core,Website
0014T00000IrrFB,15.45,2022-03-10,Core,Ads
0014T000004xZnf,150,2022-03-23,Mid-Level,Website
0014T000004ytVN,25,2021-12-13,Core,Ads
0014T00000EgSdi,20.6,2022-04-22,Core,Ads
0014T00000G8WCL,15,2021-07-02,Core,Website
0014T00000IrrFB,15.45,2022-04-10,Core,Ads
0014T000004xZnf,150,2022-04-23,Mid-Level,Website
0014T00000N8FLA,100,2022-05-04,Core,Website
0014T00000Ayy4m,20,2021-09-10,Core,Website
0014T00000G8WCL,15,2021-08-02,Core,Website
0014T00000IrrFB,15.45,2022-05-10,Core,Ads
0014T000004xZnf,150,2022-05-23,Mid-Level,Website
0014T00000Ayy4m,20,2021-10-10,Core,Website
0014T00000K4fco,12,2022-01-13,Core,Website
