HDR,ROLLING SYSTEM DEMAND,DEMAND
VD,2.02109E+13,30276
VD,2.02109E+13,30253
VD,2.02109E+13,30059
VD,2.02109E+13,29811
VD,2.02109E+13,29669
VD,2.02109E+13,29547
VD,2.02109E+13,29325
VD,2.02109E+13,29221
VD,2.02109E+13,29097
VD,2.02109E+13,28882
VD,2.02109E+13,28589
VD,2.02109E+13,28341
VD,2.02109E+13,28161
VD,2.02109E+13,27913
VD,2.02109E+13,27550
VD,2.02109E+13,27189
VD,2.02109E+13,26764
VD,2.02109E+13,26587
VD,2.02109E+13,26301
VD,2.02109E+13,26009
VD,2.02109E+13,25825
VD,2.02109E+13,25615
VD,2.02109E+13,25484
VD,2.02109E+13,25364
VD,2.02109E+13,25302
VD,2.02109E+13,25067
VD,2.02109E+13,24952
VD,2.02109E+13,24696
VD,2.02109E+13,24405
VD,2.02109E+13,24137
VD,2.02109E+13,23894
VD,2.02109E+13,23758
VD,2.02109E+13,23519
VD,2.02109E+13,23244
VD,2.02109E+13,23024
VD,2.02109E+13,22707
VD,2.02109E+13,22456
VD,2.02109E+13,22647
VD,2.02109E+13,22481
VD,2.02109E+13,22230
VD,2.02109E+13,21794
VD,2.02109E+13,21568
VD,2.02109E+13,21278
VD,2.02109E+13,21181
VD,2.02109E+13,21208
VD,2.02109E+13,21023
VD,2.02109E+13,21031
VD,2.02109E+13,20880
VD,2.02109E+13,20834
VD,2.02109E+13,20458
VD,2.02109E+13,20257
VD,2.02109E+13,20147
VD,2.02109E+13,20090
VD,2.02109E+13,20046
VD,2.02109E+13,20009
VD,2.02109E+13,19938
VD,2.02109E+13,19935
VD,2.02109E+13,19861
VD,2.02109E+13,19723
VD,2.02109E+13,19773
VD,2.02109E+13,19658
VD,2.02109E+13,19109
VD,2.02109E+13,19041
VD,2.02109E+13,18967
VD,2.02109E+13,19063
VD,2.02109E+13,19122
VD,2.02109E+13,19172
VD,2.02109E+13,19168
VD,2.02109E+13,19008
VD,2.02109E+13,18839
VD,2.02109E+13,18829
VD,2.02109E+13,18976
VD,2.02109E+13,18902
VD,2.02109E+13,18801
VD,2.02109E+13,18886
VD,2.02109E+13,18902
VD,2.02109E+13,19013
VD,2.02109E+13,18757
VD,2.02109E+13,18765
VD,2.02109E+13,18720
VD,2.02109E+13,18667
VD,2.02109E+13,18450
VD,2.02109E+13,18374
VD,2.02109E+13,18470
VD,2.02109E+13,18370
VD,2.02109E+13,18337
VD,2.02109E+13,18359
VD,2.02109E+13,18453
VD,2.02109E+13,18620
VD,2.02109E+13,18618
VD,2.02109E+13,18620
VD,2.02109E+13,18703
VD,2.02109E+13,18741
VD,2.02109E+13,18983
VD,2.02109E+13,19083
VD,2.02109E+13,19091
VD,2.02109E+13,19087
VD,2.02109E+13,19105
VD,2.02109E+13,19139
VD,2.02109E+13,19173
VD,2.02109E+13,19245
VD,2.02109E+13,19315
VD,2.02109E+13,19230
VD,2.02109E+13,19268
VD,2.02109E+13,19435
VD,2.02109E+13,19440
VD,2.02109E+13,19507
VD,2.02109E+13,19538
VD,2.02109E+13,19588
VD,2.02109E+13,19906
VD,2.02109E+13,20121
VD,2.02109E+13,20249
VD,2.02109E+13,20278
VD,2.02109E+13,20403
VD,2.02109E+13,20586
VD,2.02109E+13,20759
VD,2.02109E+13,20891
VD,2.02109E+13,21202
VD,2.02109E+13,21152
VD,2.02109E+13,21068
VD,2.02109E+13,21188
VD,2.02109E+13,21466
VD,2.02109E+13,21775
VD,2.02109E+13,22365
VD,2.02109E+13,22747
VD,2.02109E+13,23018
VD,2.02109E+13,23260
VD,2.02109E+13,23693
VD,2.02109E+13,24259
VD,2.02109E+13,24587
VD,2.02109E+13,24894
VD,2.02109E+13,25207
VD,2.02109E+13,25306
VD,2.02109E+13,25911
VD,2.02109E+13,26532
VD,2.02109E+13,26892
VD,2.02109E+13,27400
VD,2.02109E+13,27812
VD,2.02109E+13,28121
VD,2.02109E+13,28338
VD,2.02109E+13,28619
VD,2.02109E+13,28877
VD,2.02109E+13,29095
VD,2.02109E+13,29217
VD,2.02109E+13,29289
VD,2.02109E+13,29586
VD,2.02109E+13,29789
VD,2.02109E+13,29850
VD,2.02109E+13,29927
VD,2.02109E+13,29950
VD,2.02109E+13,29840
VD,2.02109E+13,29694
VD,2.02109E+13,29727
VD,2.02109E+13,29714
VD,2.02109E+13,29684
VD,2.02109E+13,29546
VD,2.02109E+13,29496
VD,2.02109E+13,29631
VD,2.02109E+13,29732
VD,2.02109E+13,29836
VD,2.02109E+13,29836
VD,2.02109E+13,29779
VD,2.02109E+13,29633
VD,2.02109E+13,29599
VD,2.02109E+13,29440
VD,2.02109E+13,29453
VD,2.02109E+13,29386
VD,2.02109E+13,29320
VD,2.02109E+13,29235
VD,2.02109E+13,29126
VD,2.02109E+13,29130
VD,2.02109E+13,29008
VD,2.02109E+13,28746
VD,2.02109E+13,28679
VD,2.02109E+13,28583
VD,2.02109E+13,28409
VD,2.02109E+13,28238
VD,2.02109E+13,28099
VD,2.02109E+13,28086
VD,2.02109E+13,27942
VD,2.02109E+13,27760
VD,2.02109E+13,27741
VD,2.02109E+13,27539
VD,2.02109E+13,27444
VD,2.02109E+13,27430
VD,2.02109E+13,27296
VD,2.02109E+13,27141
VD,2.02109E+13,27055
VD,2.02109E+13,26989
VD,2.02109E+13,26751
VD,2.02109E+13,26600
VD,2.02109E+13,26545
VD,2.02109E+13,26338
VD,2.02109E+13,26442
VD,2.02109E+13,26478
VD,2.02109E+13,26452
VD,2.02109E+13,26479
VD,2.02109E+13,26527
VD,2.02109E+13,26292
VD,2.02109E+13,26312
VD,2.02109E+13,26378
VD,2.02109E+13,26500
VD,2.02109E+13,26415
VD,2.02109E+13,26273
VD,2.02109E+13,26274
VD,2.02109E+13,26299
VD,2.02109E+13,26127
VD,2.02109E+13,26020
VD,2.02109E+13,25957
VD,2.02109E+13,25806
VD,2.02109E+13,25702
VD,2.02109E+13,25683
VD,2.02109E+13,25560
VD,2.02109E+13,25524
VD,2.02109E+13,25567
VD,2.02109E+13,25625
VD,2.02109E+13,25688
VD,2.02109E+13,25898
VD,2.02109E+13,25994
VD,2.02109E+13,25974
VD,2.02109E+13,25868
VD,2.02109E+13,25909
VD,2.02109E+13,25930
VD,2.02109E+13,25921
VD,2.02109E+13,25944
VD,2.02109E+13,26028
VD,2.02109E+13,25965
VD,2.02109E+13,25964
VD,2.02109E+13,25923
VD,2.02109E+13,25656
VD,2.02109E+13,25603
VD,2.02109E+13,25564
VD,2.02109E+13,25679
VD,2.02109E+13,26092
VD,2.02109E+13,26276
VD,2.02109E+13,26372
VD,2.02109E+13,26472
VD,2.02109E+13,26626
VD,2.02109E+13,26713
VD,2.02109E+13,26966
VD,2.02109E+13,27128
VD,2.02109E+13,27473
